,QuestionId,Answer_Source,answer,misconception_source,MisconceptionId,ConstructName,QuestionText,MisconceptionName
4217,473,AnswerCText,\( 30 \),MisconceptionCId,2375.0,Recognise the place value of each digit in integers,"What is the value of the \( 3 \) in the number below?
\(
43075
\)",Does not equate the value of a number with the place value column it is in
4219,475,AnswerCText,\( 20 \),MisconceptionCId,2271.0,"Solve three or more step linear equations, with the variable on one side, with all positive integers","Kieran thinks of a number. He doubles it and adds \( 6 \). He then divides it by \( 2 \). The answer is \( 8 \). What was his original number? ![A cartoon of a man, in this question called Kieran, wearing a shirt, tie, grey trousers and black shoes. He is thinking of a number, we can tell this because he has a thought bubble above his head with a '?' in it.]()","When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation"
4224,480,AnswerCText,"\( 7,298,000 \)",MisconceptionCId,126.0,Find 100 more than a given number,What number is \( 100 \) more than \( 72980 ? \),Multiplies rather than adds when given the command word 'more'
4227,483,AnswerCText,\( 26 \mathrm{~cm}^{2} \),MisconceptionCId,982.0,Calculate the area of a rectangle where the dimensions are given in the same units,What is the area of this rectangle? ![A rectangle with a base length 5 cm and a perpendicular height of 8 cm.](),Calculates perimeter when asked for area
4228,484,AnswerCText,\( 2 \),MisconceptionCId,207.0,"Identify and count the faces, vertices and edges of a 3D shape",How many edges does this shape have? ![\( \Delta \)](),Confuses the terms faces and edges
4229,485,AnswerCText,\( 1 \),MisconceptionCId,729.0,Calculate the square root of a number,"What is the value of the missing number? ![\begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{\( 13^{2} \)} \\
\hline\( \ldots \ldots \ldots \) & \( 12^{2} \) \\
\hline
\end{tabular}]()","Thinks the sum of 2 numbers, each squared first, is the same as adding the two numbers and then squaring the total"
4230,486,AnswerCText,\( 0.012 \),MisconceptionCId,2481.0,Multiply two decimals together with a different number of decimal places,\( 0.8 \times 0.15= \),"When multiplying decimals, divides by the wrong power of 10 when reinserting the decimal"
4232,488,AnswerCText,\( 8 \),MisconceptionCId,1639.0,Carry out addition problems involving two negative integers ,\( (-3)+(-5)= \),Believes adding two negatives gives a positive answer
4234,490,AnswerCText,\( \frac{15}{5} \),MisconceptionCId,2579.0,Convert from mixed number fractions to improper fractions,Convert \( 3 \frac{1}{5} \) to an improper fraction.,Forgets to add the numerator when converting from a mixed number to an improper fraction 
4237,493,AnswerCText,\( \frac{2}{7} \),MisconceptionCId,1261.0,Find missing numbers in a fraction multiplication,\( \frac{2}{7} \times ?=1 \),Thinks if you multiply a fraction by itself you get a whole
4238,494,AnswerCText,\( 10 \),MisconceptionCId,2192.0,Interpret a pictogram involving full symbols,"![Pictogram showing smiley faces, where each smiley face is worth 10 people. Game 1 has 5 smiley faces. Game 2 has 2 smiley faces. Game 3 has 3 smiley faces. Game 4 has 2 smiley faces.]() The pictogram shows how many people came to watch a netball match.
What is the mean number of people at each game?",Does not know you can find the mean from a pictogram
4242,498,AnswerCText,\( 250 \),MisconceptionCId,161.0,Change decimals of hours into minutes,\( 2.5 \) hours \( =_____ \) minutes,Answers as if there are 100 minutes in an hour when changing from hours to minutes
4248,504,AnswerCText,\( y=(x+1)(x-3) \),MisconceptionCId,1697.0,"Given the sketch of a curve in the form (x + a)(x + b), work out its factorised form","Which of the following could be the equation of this curve? ![A quadratic curve with a minimum turning point at (-2, -1). The curve crosses the x axis at the points (-3,0) and (-1,0). It crosses the y axis at (0,3).]()",Does not understand the link between the sign of the root and the sign in the bracket
4249,505,AnswerCText,\( 3: 10 \),MisconceptionCId,326.0,Convert fractions to ratios,"\( \frac{3}{7} \) of a group of students are boys.
What would be a possible ratio of boys to girls?","When converting fractions to ratios, puts the other side of the ratio as the total of the numerator and denominator"
4252,508,AnswerCText,\( 4 \times 8 \),MisconceptionCId,1535.0,Factorise a quadratic expression in the form x² + bx + c,Which multiplication will help factorise \( x^{2}+33 x+32 \) ?,"Believes that when factorising a quadratic, they can choose any two numbers that multiply to give the constant"
4253,509,AnswerCText,\( -3 \),MisconceptionCId,2425.0,Solve quadratic equations using factorisation in the form (x + a)(x + b) ,"This is the final stage of Beth's solution to a quadratic equation.
What should replace the star?

\[
(h-8)(h+3)=0
\] \( h=\bigstar \) or \( h=-3 \)","Believes both solutions of a quadratic will have the same absolute value, even when the graph is not symmetrical about the y axis"
4255,511,AnswerCText,\( \frac{2 s t}{s+t} \),MisconceptionCId,1048.0,Add algebraic fractions where the denominators are single terms and are not multiples of each other,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{t}{s}+\frac{2 s}{t} \)","When adding/subtracting fractions, adds/subtracts the denominators and multiplies the numerators"
4256,512,AnswerCText,"![2 function machines both with 4 rectangles in a row and joined by arrows pointing from left to right. The first function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has ""+ 3"" written inside the next rectangle, ""✕ 2"" written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""3 + 2p"" written inside it.
 The second function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has  ""✕ 2"" written inside the next rectangle, ""+ 3""  written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2(3 + p)"" written inside it.]()",MisconceptionCId,77.0,"For a given algebraic input, find the output of a function machine",Which of the following pairs of function machines are correct?,"Does not follow the arrows through a function machine, changes the order of the operations asked."
4257,513,AnswerCText,Both steps are correct,MisconceptionCId,1214.0,"Solve two-step linear equations, with the variable on one side, with all positive integers","Isaac is trying to solve the equation below.

Here are his steps.

Which steps, if any, are correct? ![An equation 15 =  2p - 4 on the first line. 
On the second line, Step 1 : 11 = 2p. 
On the third line, Step 2: 22 = p]()","When solving an equation, uses the same operation rather than the inverse."
4263,519,AnswerCText,\( 3 a c \),MisconceptionCId,220.0,Factorise a single bracket containing a non-linear expression by taking out a common factor involving numeric and algebraic components (e.g. 5a),"When this expression is fully factorised, what is left inside the brackets? \( 24 a b c^{2}-16 b^{2} c \equiv 8 b c(\square) \)",Only multiplies the first term in the expansion of a bracket
4265,521,AnswerCText,\( 12 \),MisconceptionCId,1737.0,Identify triangular numbers,"![\begin{tabular}{|lll|}
\hline\( \bullet \) & \( 8 \) & \( 8 \) \\
\hline
\end{tabular}]() How many circles will the next term in this sequence have?",Only looks at the difference between one pair of terms when discerning the pattern
4267,523,AnswerCText,"![A function machine which has 4 parts joined by arrows pointing from left to right. ""y"" is the first part, written on the left, followed by a horizontal arrow pointing to a rectangle that has ""+ 1"" written inside it, followed by a horizontal arrow pointing to a rectangle that has ""✕ 5"" written inside it, followed by a horizontal arrow pointing to ""𝑥""]()",MisconceptionCId,940.0,Express a linear equation as a function machine,"Which function matches the equation
\[
y=5(x+1) ?
\]",When writing a function as a function machine confuses the input and the output.
4269,525,AnswerCText,\( \frac{99}{40} \),MisconceptionCId,217.0,Add fractions involving mixed number fractions with different denominators,\( 2 \frac{7}{10}+2 \frac{1}{4}= \) Leave your answer as a mixed number,"When adding fractions, adds the numerators and denominators"
4271,527,AnswerCText,CGE,MisconceptionCId,1906.0,Label angles using correct 3-letter notation (e.g. angle ADB),Which of the following correctly describes the marked angle? ![An image of square ABCE with various triangles attached to it.  The marked angle is between the lines CE and EG.](),Gives 3-letter angle notation in the wrong order
4275,531,AnswerCText,\( 90 \),MisconceptionCId,1595.0,Identify multiples of a number,"If you list the multiples of \( 15 \) in ascending order, what is the \( 5^{\text {th }} \) number in the list?",Believes the first multiple of a is 2a
4277,533,AnswerCText,\( \frac{10 y}{3 x} \),MisconceptionCId,438.0,Multiply algebraic fractions where the numerators and denominators are all single terms,"Write this as a single fraction as simply as possible:

\(
\frac{5}{x} \times \frac{2 y}{x^{2}}
\)",Believes cubing a number means you multiply it by 3
4278,534,AnswerCText,\( 4 h=9 \),MisconceptionCId,2566.0,Subtract two equations together to remove a variable ,"Isaac is trying to solve the pair of simultaneous equations on the right.

\[
6 g+h=12
\]
\[
6 g-3 h=-3
\]

He decides to subtract the bottom equation from the top equation.
What will he end up with?","When subtracting a negative number, subtracts the absolute value rather than adding it"
4281,537,AnswerCText,\( 5.136 \ldots \),MisconceptionCId,2392.0,Round numbers to an appropriate degree to estimate the answer to a calculation,"Without working out the exact answer, use estimation to decide which of the following answer is the most likely to be correct \( 505 \div 198 \)",Rounds to the wrong degree of accuracy (rounds too much)
4282,538,AnswerCText,\( 112 \mathrm{~cm} \),MisconceptionCId,2302.0,"Given the area of a square, calculate a missing dimension","A shape is made up a square and regular pentagon.
The area of the square is \( 196 \mathrm{~cm}^{2} \).

What is the perimeter of the compound shape? ![A regular pentagon with a square joined along one edge]()",Believes lines inside the shape are included when finding perimeter
4283,539,AnswerCText,\( 96 \mathrm{~cm} \),MisconceptionCId,545.0,"Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape","A regular octagon has a total perimeter of \( 12 \mathrm{~cm} \).
What is the length of each of its sides?","When given the perimeter of a regular polygon, multiplies instead of divides to find each side length"
4284,540,AnswerCText,\( 270 \),MisconceptionCId,1705.0,Round the elements of a calculation to one significant figure to perform an estimation,"Estimate the value of
\(
\frac{3.24 \times 17.6}{0.224}
\)",Rounds to the nearest integer when estimating
4286,542,AnswerCText,Equation,MisconceptionCId,1834.0,Recognise and name an expression,Which of the following is the most appropriate word to describe: \( 6-3 g \),Confuses an equation with an expression
4288,544,AnswerCText,\( 2 \),MisconceptionCId,2210.0,Identify or mark lines of symmetry on a shape,"![A rectangle divided into 3 equal horizontal sections. The middle section is white and the other 2 sections are blue. In the centre of the white section are five 5-pointed blue stars in the same formation as the 5 dots on a dice. All the stars are in exactly the same orientation, with one point pointing directly upwards.]() How many lines of symmetry does this shape have?",Ignores colours or design on shape when looking for symmetry
4289,545,AnswerCText,00:50,MisconceptionCId,685.0,Tell the time from a 24 hour digital clock with times after half past the hour,Which clock shows ten to twelve at night?,Does not adjust the hour for “to” times
4290,546,AnswerCText,\( 28 \),MisconceptionCId,507.0,Interpret numbers in a frequency table,"Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()",Believes the total frequency is the overall total in a grouped table
4291,547,AnswerCText,\( 14 \),MisconceptionCId,2479.0,Factorise a quadratic expression in the form x² + bx - c,"If
\(
m^{2}+5 m-14 \equiv(m+a)(m+b)
\)
then \( a \times b= \)","When factorising into double brackets, believes the product of the constants in the brackets is of the opposite sign to the constant in the expanded equation."
4293,549,AnswerCText,\( 8: 13 \),MisconceptionCId,1986.0,Express pictorial representations of objects as a ratio,![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?,"When writing ratio from diagram, writes total as one side"
4297,553,AnswerCText,\( \frac{1}{35} \),MisconceptionCId,1128.0,Find missing numbers in a fraction multiplication,"Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?",Does not know how to interpret a fraction worded problem 
4298,554,AnswerCText,\( -\frac{3}{2} \),MisconceptionCId,1704.0,Work out the equation of a line with a negative gradient from an accurate drawing,"If you were to write the equation of this line in the form \( \boldsymbol{y}=\boldsymbol{m} \boldsymbol{x}+\boldsymbol{c} \), what is the value of \( \boldsymbol{m} \) ? ![Graph showing straight line with y intercept (0,0) and x intercept (0,0). Also goes through the point (6,-4)]()",Believes gradient = change in x/change in y
4299,555,AnswerCText,\( 18 \mathrm{~mm} \),MisconceptionCId,734.0,"Given the area of a square, calculate a missing dimension",A square has an area \( 36 \mathrm{~mm}^{2} \) What is the length of one side of the square?,Confuses square rooting and halving the number
4302,558,AnswerCText,\( t-2 \),MisconceptionCId,1755.0,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)",Incorrectly factorises a quadratic
4303,559,AnswerCText,A right angle,MisconceptionCId,527.0,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",An equilateral shape must have...,Does know know equilateral means the same as regular 
4305,561,AnswerCText,"Translation by vector
\(\left[\begin{array}{l}
1 \\
0
\end{array}\right]\)",MisconceptionCId,1312.0,Identify vertical translations in the form f(x) = for non-trigonometric functions,"What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)",Believes f(x) + a translates the function right a units
4306,562,AnswerCText,\( 5 \),MisconceptionCId,2433.0,"Given an exchange rate x = ny, convert to work out the number of x’s for a given y","\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?",Does not know how to calculate with exchange rates
4307,563,AnswerCText,\( r=\frac{p-5}{3} \),MisconceptionCId,1971.0,Rearrange formulae to change the subject where the subject appears once and two steps are needed,"Rearrange the following equation to make \( r \) the subject
\[
p=3 r-5
\]",Confuses the inverse operations of addition and subtraction when rearranging equations
4309,565,AnswerCText,\( 20 \),MisconceptionCId,823.0,Raise an integer to a positive non-unit fraction power,\( (16)^{\frac{5}{2}}=? \),Assumes they multiply by the numerator of fractional index
4310,566,AnswerCText,Both Tom and Katie,MisconceptionCId,483.0,Rearrange formulae to change the subject where the subject appears once and three or more steps are needed,"Tom and Katie are discussing rearranging \( p=\sqrt{5-q} \) to make \( q \) the subject Tom says a correct first line of working could be: \( p^{2}=5-q \) Katie says a correct first line of working could be: \( p+\sqrt{q}=\sqrt{5} \)
Who is correct?","Thinks that the square root of an expression square roots each term in the expression, rather than square rooting the whole expression"
4311,567,AnswerCText,\( x-2 \),MisconceptionCId,2143.0,Multiply an integer and an algebraic term ,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()",Adds instead of multiplying when expanding bracket
4313,569,AnswerCText,\( 290^{\circ} \),MisconceptionCId,48.0,Find missing angles on parallel lines using corresponding angles,"Calculate the missing angle: ![Two vertical lines marked with arrows are crossed by one diagonal line. Two angles are marked; they are both on the upper side of the diagonal line and to the right of the vertical lines. One is marked '70', the other '?'. ]()",Thinks corresponding angles sum to 360 degrees
4314,570,AnswerCText,\( 16 \),MisconceptionCId,1079.0,Use the prime factor decomposition of a number to calculate the number,"What number should replace \(\color{gold}\bigstar \) in the Venn diagram? ![A Venn diagram with two circles. The left hand one is labelled 'prime factors of \star\', the right hand circle is labelled 'prime factors of 60'. In the left hand circle, there is an 11, in the overlap there is a 2 and a 3, and in the right hand circle there is a 2 and a heart. ]()",Believes factors add to give a number
4316,572,AnswerCText,\( 620 \),MisconceptionCId,1248.0,"Round integers to the nearest other integer value (e.g. 20, 50 etc)",What is \( 623 \) rounded to the nearest \( 50 \) ?,Rounds to the wrong degree of accuracy (rounds too little)
4318,574,AnswerCText,![Net showing two squares and four rectangles](),MisconceptionCId,690.0,Identify the net of a non-prism,Which diagram is the net for a square based pyramid?,Struggles to visualise nets of 3D shapes
4320,576,AnswerCText,\( 34591.9 \),MisconceptionCId,1675.0,Round numbers to one decimal place,"\[
34590.8549
\]
What is this number rounded to \( 1 \) decimal place?",Changes wrong place value column when rounding
4321,577,AnswerCText,Both,MisconceptionCId,2537.0,Identify rational and irrational numbers,"Which of these two numbers are rational?
\(
\pi \text { and } \frac{1}{\pi}
\)",Does not know the definition of a rational number
4322,578,AnswerCText,\( (p+3)(p-1) \),MisconceptionCId,418.0,Factorise a quadratic expression in the form x² + bx + c,"Factorise this expression, if possible:
\(
p^{2}+2 p+3
\)","Believes that when factorising a quadratic, they can choose any two numbers that add to give the coefficient of x"
4326,582,AnswerCText,\( \triangle=-25 \),MisconceptionCId,2316.0,Complete the square for expressions that end up in the form a(x + b)² + c,"When Aaron completes the square, what should replace the triangle?
\(
3 g^{2}-18 g-7 \equiv 3(g-3)^{2} \triangle
\)",Mixes up squaring and multiplying by 2 or doubling
4329,585,AnswerCText,\( \begin{array}{l}x=0.6 \\ y=4.6\end{array} \),MisconceptionCId,512.0,Solve linear simultaneous equations requiring a scaling of one expression,"What is a correct solution for the following pair of simultaneous equations:
\[4x+y=7\]
\[3x+2y=4\]","When asked to solve simultaneous equations, believes they can just find values that work in one equation"
4331,587,AnswerCText,"Problem P: \( 6 \div 3 \)
Problem Q: \( 3 \times 5 \)",MisconceptionCId,2306.0,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division","Problem P: \( 6 \div 3+5= \)
Problem Q: \( 6 \div 3 \times 5= \)

Which calculation should you do first in each problem?","Applies BIDMAS in strict order (does not realize addition and subtraction, and multiplication and division, are of equal priority)"
4332,588,AnswerCText,\( 2 \),MisconceptionCId,767.0,Change decimals of hours into minutes,\( 0.2 \) hours \( = _______ \) minutes,Thinks there are 10 minutes in an hour
4334,590,AnswerCText,Protractor,MisconceptionCId,295.0,Identify mathematical instruments and their functions,What is the name of the mathematical instrument used to construct circles?,Does not know the word and/or does not know the function of a compass
4335,591,AnswerCText,\( 6 \mathrm{~cm} \times 4 \mathrm{~cm} \),MisconceptionCId,910.0,Calculate the surface area of a cuboid where the dimensions are given in the same units,Which calculation would give you the area of the face of this cuboid labelled \( Q \) ('the top')? ![A cuboid with dimensions 6cm by 3cm by 4 cm. The top face Q is marked. It is a rectangle with dimensions 6cm by 3cm.](),Cannot identify the correct side lengths to use when asked to find the area of a face
4336,592,AnswerCText,\( 335^{\circ} \),MisconceptionCId,1290.0,Use a protractor to measure angles between 180° and 270°,"What is the size of the marked angle? ![A 360 degree protractor with 2 red lines and a pink sector marking out an angle being measured by the protractor. The outer scale goes from 0 to 360, clockwise. The angle is a reflex angle that is between the red line that is at 0 (outer scale) and 180 (inner scale) on the protractor and goes clockwise round to the red line that is half way between 200 and 210 (outer scale) and halfway between 340 and 330 (inner scale).]()",Reads the wrong scale on the protractor when measuring reflex angles
4337,593,AnswerCText,"\( (-2,2) \)",MisconceptionCId,1990.0,"Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object","The triangle is reflected in the dashed line
What are the new coordinates of point \( \mathrm{P} \) ? ![Four quadrant, coordinate grid with the reflection line y=-x drawn and a triangle. The triangle has coordinates: (-2,3) (-2,6) and (0,5). The point P is the coordinate (0,5)]()",Fails to reflect across mirror line
4338,594,AnswerCText,\( 1 \),MisconceptionCId,1383.0,Add integers up to 4 digits using a written method where carrying is needed,"What number should replace the star? \begin{tabular}{|c|c|c|c|c|}
\hline & \( 4 \) & \( 2 \) & \(5\) & \(4\)\\
\hline+ & \( 2 \) & \(\bigstar\)  & \(7\) & \(1\) \\
\hline \(\space\) & \(6\) & \(3\) & \(2\) & \(5\)
\end{tabular}","When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit"
4339,595,AnswerCText,\( 96 \),MisconceptionCId,247.0,Calculate percentage of an amount mentally where the percent is a multiple of 10,Find \( 20 \% \) of \( 80 \),Found the percentage but added it to 100%
4340,596,AnswerCText,\( \frac{q-4}{-2 q-1} \),MisconceptionCId,143.0,Simplify an algebraic fraction by factorising both the numerator and denominator,Write the following as simply as possible: \( \frac{q^{2}+q-12}{q^{2}-2 q-3} \),"Thinks that when you cancel identical terms from the numerator and denominator, they just disappear"
4341,597,AnswerCText,\( 18 \),MisconceptionCId,2359.0,Divide proper fractions in the form: Fraction ÷ Integer,"Calculate
\(
\frac{1}{6} \div 3
\)",Believes division is commutative 
4342,598,AnswerCText,\( 1.5 \% \),MisconceptionCId,61.0,Convert decimals less than 1 with 2 decimal place to percentages,Write \( 0.15 \) as a percentage.,Multiplies by 10 instead of 100 when converting decimal to percentage
4345,601,AnswerCText,Diagonal,MisconceptionCId,1746.0,Identify a diameter,"The straight line across this circle is called a ....? ![A circle with a line across from edge to edge, passing through the centre]()",Does not know the term 'diameter'
4347,603,AnswerCText,\( 10 \),MisconceptionCId,2111.0,Interpret numbers in a frequency table,"Bob recorded the number of cars he sold in one week.
How many cars did he sell altogether? \begin{tabular}{|c|c|}
\hline Colour & Frequency \\
\hline Blue & \( 3 \) \\
\hline Black & \( 2 \) \\
\hline Silver & \( 4 \) \\
\hline Red & \( 1 \) \\
\hline Other & \( 3 \) \\
\hline
\end{tabular}","Believes you do not include an ""other"" category when finding a total frequency"
4348,604,AnswerCText,\( 1.6 \),MisconceptionCId,2481.0,Multiply two decimals together with the same number of decimal places,\( 0.4^{2}= \),"When multiplying decimals, divides by the wrong power of 10 when reinserting the decimal"
4349,605,AnswerCText,\( 120 \),MisconceptionCId,70.0,Interpret a bar chart,"The bar chart shows the drinks sold in Caroline's Café on Monday and Tuesday last week.

Approximately how many Teas were sold on Tuesday? ![Composite bar chart with four bars, labelled Tea, Coffee, Hot Choc and Cans. Each bar has two sections, the lower one shows how many sold on Monday and the upper one showing Tuesdays sales. The vertical scale has 5 ticks between 0 and 50, 50 and 100 etc.
The Teas bar lower section is 1 tick below 50 on the vertical scale, and the whole bar's height is 2 ticks above 100 on the vertical scale.
]()","When reading a composite bar chart, just reads total height of bar"
4350,606,AnswerCText,\( 162 \),MisconceptionCId,2017.0,Recognise square roots,Which of the following is the square root of \( 81 \) ?,Mixes up square rooting and multiplying by 2 or doubling
4351,607,AnswerCText,Both Tom and Katie,MisconceptionCId,308.0,Calculate percentage of an amount mentally where the percent is a multiple of 10,"Tom and Katie are arguing about working out percentages of amounts.

Tom says to find \( 40 \% \) you divide by \( 100 \) and multiply by \( 4 \). 
Katie says to find \( 40 \% \) you divide by \( 5 \) and multiply by \( 2 \).
Who is correct?",Believes that dividing by 100 gives 10%
4353,609,AnswerCText,\( 365 \times 12 \),MisconceptionCId,443.0,Convert between any other time periods,To work out how many hours in a year you could do...,Thinks there are 12 hours in 1 day
4354,610,AnswerCText,\( (w+5)^{2}-5=0 \),MisconceptionCId,922.0,Solve quadratic equations using completing the square in the form (x + q)² + r ,"One of these equations has no real solutions
Which is it?",Believes we can only take the square root of a perfect square
4356,612,AnswerCText,\( 1.8 \),MisconceptionCId,1024.0,Multiply two decimals together with the same number of decimal places,What should replace the star? \( \bigstar \div 0.3=1.5 \),When solving an equation thinks they add when in fact they need to multiply
4357,613,AnswerCText,\( 2\; : 5 \),MisconceptionCId,2208.0,Represent written scenarios as ratios,"For every \( 2 \) marbles Karen has, Marty has \( 3 \).
Write the number of marbles Karen and Marty have as a ratio, with Karen's part first.","When writing ratio, writes total as one side"
4358,614,AnswerCText,"\( x<-2.2, x>2.2 \)",MisconceptionCId,2043.0,Solve quadratic inequalities from the graph of the quadratic,Use the graph to approximate the solution to \( x^{2}<5 \) ![A set of axes with the quadratic graph y=x^2 drawn on.](),Selects y>a solutions instead of y<a solutions for a quadratic inequality
4360,616,AnswerCText,\( 24 \),MisconceptionCId,1055.0,Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one,"Without drawing any more terms, how many circles do you predict will be in the \( 5 \) th term of this sequence? ![A diagram showing the first 3 patterns in a sequence. Pattern 1 is a rectangle with a total of 6 circles surrounding it. Pattern 2 is 2 rectangles with a total of 10 circles surrounding it. Pattern 3 is 3 rectangles with a total of 14 circles surrounding it.]()",Does not notice all changes in a sequence of visual patterns
4362,618,AnswerCText,\( 26 \% \),MisconceptionCId,2361.0,Convert fractions to percentages containing 1 decimal place,What is \( \frac{13}{40} \) written as a percentage?,Believes a fraction out of a number other than 100 represents a percentage
4363,619,AnswerCText,Multiples,MisconceptionCId,710.0,Recognise when to find a factor to solve a problem,"A Zumba teacher wants to split her group of \( 60 \) clients into equal sized classes.
To do this she needs to know the _________ of \( 60 \)
Which word best fills in the gap?",Confuses factors and multiples
4365,621,AnswerCText,01:15,MisconceptionCId,581.0,Solve problems involving adding a period of time on to a given start time,"A coach takes \( 3 \) hours \( 50 \) minutes to complete a journey from Manchester to London.

If the coach leaves Manchester at 09:25, what time does it arrive in London?",Writes times in the afternoon as if they are morning on a 24 hour clock
4368,624,AnswerCText,\( 0 \),MisconceptionCId,1514.0,Complete missing number mental addition problems with numbers over 1000,"A \( 3 \) digit number belongs in this box to make the calculation true
\(
467+\square=1253
\)
What is the \( 3^{\text {rd }} \) digit of the number that belongs in the box?",Adds instead of subtracts
4370,626,AnswerCText,\( 252 \mathrm{~cm} \),MisconceptionCId,828.0,"Given the area of a square, calculate a missing dimension","A shape is made up a square and regular pentagon.
The area of the square is \( 144 \mathrm{~cm}^{2} \).

What is the perimeter of the compound shape? ![Pentagon and square joined along one edge]()",Adds when calculating area instead of multiplying
4372,628,AnswerCText,\( 36 \),MisconceptionCId,791.0,"Calculate the whole amount, given a fraction of the amount","Here is a number card

 \( \frac{1}{3} \) of \( \mathrm{A} \) is \( 12 \)

 What is \( \frac{1}{2} \) of \( A \) ?
 ![\( A \)]()","In a worded problem, does not complete all calculations"
4377,633,AnswerCText,\( d^{2}=22 \),MisconceptionCId,969.0,Solve quadratic equations using balancing,"A student wishes to solve the equation below.

Which of the following is a correct next step?
\(
(d+3)^{2}-25=0
\)

Step \( 1 \)
\(
(d+3)^{2}=25
\)",Believes you can subtract from inside brackets without expanding when solving an equation
4378,634,AnswerCText,\( 2 \),MisconceptionCId,1044.0,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,"Mo wants to solve this equation using the quadratic formula.
\(
5 h^{2}-3 h-2=0
\)

What should replace the star? \(  \bigstar  \pm \sqrt{ ? - ?  } \)",Misremembers the quadratic formula
4379,635,AnswerCText,Both Tom and Katie,MisconceptionCId,599.0,Estimate the size of obtuse angles using bearings,"An exam question asks students to estimate the size of the bearing on the right
Tom writes his answer as: \( 110\degree\)
Katie writes her answer as: \( 190\degree\)

Who would get all the marks for this question in the exam? ![An obtuse angle drawn in a clockwise direction from a vertical north line.]()",Does not understand that an obtuse angle is between 90 and 180 degrees
4380,636,AnswerCText,Both Tom and Katie,MisconceptionCId,1402.0,Round numbers greater than 1 to two significant figures,"Tom and Katie are arguing about rounding.

Tom says \( \mathbf{6 0 5 . 7 6} \) rounded to \( 1 \) significant figure is \( \mathbf{6 0 0} \)

Katie says \( \mathbf{6 0 5 . 7 6} \) rounded to \( 2 \) significant figures is \( \mathbf{6 0 0} \)

Who is correct?",Rounds down instead of up when next digit is 5
4381,637,AnswerCText,\( 0.3 \),MisconceptionCId,1708.0,Multiply two decimals together with a different number of decimal places,\( 0.15 \times 0.2= \),Does not understand place value within a number
4382,638,AnswerCText,"![A number line with integers from -5 to 5 marked on, with x as the axis label. There is an empty circle above 1, with an arrow pointing to the left coming off it.]()",MisconceptionCId,550.0,Represent a linear inequality with a single tail on a numberline,Which of the following diagrams represents \( x \leq 1 \) ?,"When representing an inequality on a numberline, assumes the filled and unfilled circles have the opposite meaning."
4385,641,AnswerCText,Both Tom and Katie,MisconceptionCId,1554.0,Identify factors of algebraic expressions,"Tom and Katie are discussing factors

Tom says \( 4 \) is a common factor of \( 6 x \) and \( 9 y^{2} \)

Katie says \( y \) is a common factor of \( 6 x \) and \( 9 y^{2} \)

Who is correct?",Does not know how to identify common factors from algebraic terms
4386,642,AnswerCText,\( 3 x(3 x-16-) \),MisconceptionCId,2549.0,Factorise a quadratic expression in the form ax² - c,"When factorised, \( 9 x^{2}-16 \) will become...",Believes only the first term needs to be divided when factorising an expression
4387,643,AnswerCText,\( 30 \),MisconceptionCId,1558.0,Carry out division problems involving negative non-integers,\( \frac{(-3) \times(-2)}{(-0.2)}= \),Believes dividing a positive by a negative gives a positive answer
4389,645,AnswerCText,\( 54^{\degree} \),MisconceptionCId,1791.0,Find missing angles in an isosceles triangle,What is the size of angle \( w \) ? ![An isosceles triangle with one of the base angles labelled with a w and the angle vertically opposite the vertex angle labelled with 27 degrees](),Does not know that vertically opposite angles are equal
